jvm_short,jvm_descr,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx128m -Xms128m,22024,0,2202.38,0.454,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx128m -Xms128m,19651,0,1965.08,0.509,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx128m -Xms128m,22044,0,2204.34,0.454,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx128m -Xms128m,8467,0,846.68,1.181,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx128m -Xms128m,9609,0,960.87,1.041,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx128m -Xms128m,8807,0,879.79,1.137,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot,-Xmx128m -Xms128m,9244,0,924.39,1.082,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx128m -Xms128m,8116,0,811.18,1.233,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx128m -Xms128m,6047,0,604.62,1.654,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx128m -Xms128m,7621,0,761.96,1.312,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Micronaut,-Xmx128m -Xms128m,6766,0,676.48,1.478,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx128m -Xms128m,9466,0,944.38,1.059,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx128m -Xms128m,7375,0,737.46,1.356,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx128m -Xms128m,9476,0,947.58,1.055,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx128m -Xms128m,7118,0,711.77,1.405,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx128m -Xms128m,10147,0,1014.69,0.986,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx128m -Xms128m,12059,0,1205.90,0.829,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx128m -Xms128m,10353,0,1035.28,0.966,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx128m -Xms128m,11333,0,1133.30,0.882,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx128m -Xms128m,71418,0,7141.79,0.140,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx128m -Xms128m,67415,0,6741.50,0.148,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx128m -Xms128m,76422,0,7642.16,0.131,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx128m -Xms128m,63835,0,6383.48,0.157,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx128m -Xms128m,41287,0,4128.70,0.242,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx128m -Xms128m,43075,0,4307.42,0.232,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx128m -Xms128m,40872,0,4087.17,0.245,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx128m -Xms128m,48207,0,4820.68,0.207,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx512m -Xms512m,2571,0,256.98,3.891,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx512m -Xms512m,2148,0,214.78,4.656,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx512m -Xms512m,2526,0,252.29,3.964,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Akka,-Xmx512m -Xms512m,2242,0,224.13,4.462,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Quarkus,-Xmx512m -Xms512m,5934,0,593.32,1.685,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Quarkus,-Xmx512m -Xms512m,12313,0,1231.24,0.812,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Quarkus,-Xmx512m -Xms512m,4955,0,495.41,2.019,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Quarkus,-Xmx512m -Xms512m,12875,0,1287.48,0.777,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Helidon SE,-Xmx512m -Xms512m,14192,0,1419.10,0.705,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Helidon SE,-Xmx512m -Xms512m,16328,0,1632.69,0.612,1,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Helidon SE,-Xmx512m -Xms512m,17276,0,1727.59,0.579,4,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Helidon SE,-Xmx512m -Xms512m,17110,0,1710.99,0.584,4,4,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot,-Xmx512m -Xms512m,7323,0,732.27,1.366,1,1,10
openj9_8_222,OpenJ9 8,8,Metronome policy,Metronome,Spring Boot,-Xmx512m -Xms512m,8191,0,819.10,1.221,1,4,10
